"Lo, Maodo",PG,BER,GER,191,29,27,37%,21.6,9.5,2.0,3.9,52%,1.3,3.9,35%,3.4,7.8,43%,1.4,1.6,89%,0.3,1.0,1.3,3.1,1.5,2.0,0.6,2.1,0.0,7.6,0
"Siva, Peyton",PG,BER,USA,182,31,26,42%,20.3,10.1,1.3,3.0,43%,1.7,5.0,33%,3.0,8.0,37%,2.5,2.8,90%,0.5,1.5,2.0,5.2,1.9,3.0,1.2,2.3,0.0,11.7,0
"Giffey, Niels",F,BER,GER,200,30,24,42%,20.0,8.1,2.2,4.2,52%,1.0,2.3,42%,3.2,6.5,49%,0.8,1.0,79%,1.2,1.7,2.9,1.4,1.9,1.8,0.8,1.3,0.4,8.3,0
"Delow, Malte",SG,BER,GER,194,20,23,39%,8.3,1.6,0.5,1.0,46%,0.2,0.7,27%,0.7,1.7,38%,0.1,0.1,67%,0.5,0.4,0.9,0.5,1.6,0.4,0.4,0.3,0.0,0.7,0
"Eriksson, Marcus",F,BER,SWE,201,28,22,32%,23.3,12.4,1.5,2.5,59%,2.6,6.0,44%,4.1,8.5,49%,1.5,1.6,94%,0.2,1.5,1.7,0.7,1.3,2.2,0.5,1.0,0.0,10.7,0
"Mattisseck, Jonas",SG,BER,GER,194,21,31,32%,13.8,3.0,0.3,0.7,43%,0.7,2.1,36%,1.0,2.7,38%,0.2,0.3,88%,0.2,0.8,1.1,0.9,1.8,0.9,0.4,0.5,0.0,2.1,0
"Schneider, Tim",PF,BER,GER,208,24,28,36%,11.2,2.8,0.6,1.7,36%,0.5,1.6,30%,1.1,3.3,33%,0.2,0.3,71%,0.5,1.0,1.5,0.3,1.1,0.3,0.1,0.3,0.1,1.3,0
"Brenneke, Lorenz",F,BER,GER,204,21,1,0%,9.2,0.0,0.0,1.0,0%,0.0,0.0,-,0.0,1.0,0%,0.0,0.0,-,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0
"Nikic, Kresimir",C,BER,CRO,213,22,10,40%,8.3,2.2,0.9,2.2,41%,0.0,0.0,-,0.9,2.2,41%,0.4,0.4,100%,0.5,1.0,1.5,0.4,0.9,1.1,0.2,0.6,0.1,2.6,0
"Olinde, Louis",F,BER,GER,205,23,25,32%,16.0,4.3,1.0,2.4,42%,0.6,1.7,36%,1.6,4.1,39%,0.5,0.8,65%,1.1,1.6,2.7,0.2,2.2,1.2,0.5,0.8,0.2,3.0,0
"Fontecchio, Simone",F,BER,ITA,203,26,29,31%,23.4,10.6,2.7,5.0,54%,1.4,3.6,39%,4.1,8.6,48%,1.1,1.2,89%,0.9,2.6,3.4,1.6,1.8,1.7,0.9,1.6,0.2,10.1,0
"Thiemann, Johannes",C,BER,GER,205,27,31,35%,19.0,7.7,2.0,4.2,48%,0.7,2.0,38%,2.8,6.2,45%,1.4,1.8,80%,1.4,2.4,3.8,1.5,1.6,2.6,0.7,1.1,0.0,9.4,0
"Granger, Jayson",PG,BER,ITA,189,32,28,32%,23.3,8.1,1.8,3.6,49%,1.4,4.0,34%,3.1,7.7,41%,0.5,0.6,78%,0.3,2.4,2.7,4.9,1.3,2.7,1.0,1.9,0.0,11.4,0
"Sikma, Luke",F/PF,BER,USA,203,32,31,35%,24.9,9.1,2.8,4.5,62%,0.6,1.8,33%,3.4,6.3,54%,1.7,2.2,78%,1.7,4.0,5.7,3.8,2.5,3.6,0.8,3.0,0.3,14.0,0
"Lammers, Ben",C,BER,USA,208,26,28,32%,20.7,10.0,4.2,6.5,64%,0.3,0.7,37%,4.4,7.2,61%,0.9,1.0,89%,1.2,2.8,4.0,0.7,1.9,1.1,0.8,0.7,1.3,12.2,0
"Koumadje, Christ",C,BER,CHA,223,25,4,25%,11.9,3.5,1.8,2.5,70%,0.0,0.0,-,1.8,2.5,70%,0.0,0.8,0%,0.5,2.8,3.3,0.3,2.3,0.8,0.0,1.0,1.0,4.0,0
"Larkin, Shane",PG,EFS,USA,180,29,28,68%,28.2,15.1,2.0,3.9,50%,2.6,6.3,41%,4.6,10.2,45%,3.4,3.9,86%,0.5,1.9,2.4,4.1,1.0,3.9,1.4,2.1,0.1,17.0,0
"Beaubois, Rodrigue",PG/SG,EFS,FRA,190,33,31,65%,21.1,9.9,1.8,3.4,53%,1.8,3.7,48%,3.6,7.1,50%,1.0,1.0,94%,0.2,1.5,1.7,1.8,1.7,1.4,0.5,1.1,0.4,9.2,0
"Singleton, Chris",PF/C,EFS,USA,206,32,34,65%,21.7,6.0,0.9,1.9,46%,1.0,2.5,39%,1.8,4.4,42%,1.4,1.7,81%,1.0,2.8,3.7,0.7,2.3,2.1,0.8,0.6,0.5,7.9,0
"Saybir, Yigitcan",F,EFS,TUR,198,22,2,100%,2.4,1.0,0.5,1.0,50%,0.0,0.5,0%,0.5,1.5,33%,0.0,0.0,-,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
"Balbay, Dogus",SG,EFS,TUR,185,32,25,60%,7.4,1.6,0.5,0.6,86%,0.2,0.6,29%,0.6,1.1,57%,0.2,0.3,63%,0.1,0.6,0.7,0.6,1.2,0.4,0.5,0.4,0.2,1.9,0
"Gecim, Tolga",PF,EFS,TUR,206,25,6,67%,5.5,0.7,0.3,1.2,29%,0.0,0.3,0%,0.3,1.5,22%,0.0,0.0,-,0.0,0.8,0.8,0.3,0.3,0.3,0.0,0.7,0.0,-0.2,0
"Gazi, Erten",SG,EFS,TUR,190,24,8,50%,6.0,1.4,0.3,0.5,50%,0.3,0.9,29%,0.5,1.4,36%,0.1,0.3,50%,0.3,0.4,0.6,0.6,1.4,0.6,0.3,0.0,0.0,1.0,0
"Sanli, Sertac",C,EFS,TUR,212,30,27,70%,13.5,7.4,2.4,3.6,69%,0.4,1.1,37%,2.9,4.7,61%,1.3,1.7,77%,0.7,1.1,1.8,0.7,2.1,1.1,0.4,0.6,0.4,6.7,0
"Moerman, Adrien",PF,EFS,FRA,201,33,34,65%,21.3,6.9,1.9,3.1,59%,0.9,2.6,36%,2.8,5.8,48%,0.4,0.6,59%,1.2,3.7,4.9,1.2,1.5,1.2,0.6,1.0,0.1,9.0,0
"Tuncer, Bugrahan",SG,EFS,TUR,193,28,14,64%,6.1,2.6,0.4,1.0,43%,0.6,1.6,36%,1.0,2.6,39%,0.0,0.0,-,0.4,0.8,1.1,1.2,1.0,0.3,0.3,0.5,0.0,2.3,0
"Pleiss, Tibor",C,EFS,GER,218,32,19,53%,13.8,8.0,3.0,5.0,60%,0.3,0.7,38%,3.3,5.7,57%,1.2,1.3,92%,1.1,2.0,3.1,0.6,0.9,1.2,0.2,0.8,0.4,8.9,0
"Micic, Vasilije",PG,EFS,SER,195,27,33,64%,30.1,16.1,3.8,6.8,56%,1.6,4.5,35%,5.5,11.4,48%,3.6,4.2,86%,0.4,2.2,2.6,5.0,2.5,4.9,1.2,3.0,0.0,17.1,0
"Anderson, James",F,EFS,USA,198,32,34,65%,16.5,4.8,1.0,1.7,56%,0.6,1.4,45%,1.6,3.2,51%,0.9,1.3,70%,0.9,2.2,3.1,0.9,1.4,1.1,0.5,0.4,0.1,6.6,0
"Dunston, Bryant",C,EFS,USA,203,35,29,62%,21.5,8.3,3.2,5.5,59%,0.0,0.1,50%,3.3,5.6,59%,1.7,2.8,61%,1.8,2.2,4.0,1.1,2.4,3.0,0.8,0.8,1.0,11.4,0
"Simon, Krunoslav",SG,EFS,CRO,197,36,28,64%,26.5,10.9,2.5,4.4,57%,1.6,3.8,42%,4.1,8.2,50%,1.2,1.5,77%,0.5,2.5,3.1,3.4,1.2,1.7,0.5,1.1,0.3,13.0,0
"Musa, Dzanan",F,EFS,BIH,203,22,4,75%,2.9,0.0,0.0,0.0,-,0.0,0.5,0%,0.0,0.5,0%,0.0,0.0,-,0.0,0.5,0.5,0.3,0.5,0.0,0.3,0.5,0.0,-0.5,0
"Punter, Kevin",SG,MIL,USA,193,28,29,62%,25.8,15.0,3.1,5.8,53%,2.0,4.9,40%,5.0,10.7,47%,2.9,3.3,89%,0.2,1.4,1.6,1.6,1.9,3.3,0.8,1.3,0.0,12.6,0
"Leday, Zach",PF/C,MIL,USA,201,27,29,62%,24.2,10.3,2.5,5.1,49%,1.0,2.1,49%,3.6,7.2,49%,2.2,2.4,90%,1.0,3.5,4.5,0.6,2.0,3.4,0.6,0.9,0.4,12.7,0
"Moretti, Davide",PG/SG,MIL,ITA,190,23,3,67%,1.9,0.7,0.0,0.0,-,0.0,0.3,0%,0.0,0.3,0%,0.7,0.7,100%,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.3,0.0,0.7,0
"Micov, Vladimir",F/PF,MIL,SER,201,36,23,61%,19.3,6.3,1.7,3.5,50%,0.7,1.7,44%,2.5,5.2,48%,0.6,0.8,68%,0.2,1.4,1.6,1.1,1.7,1.4,0.7,0.8,0.1,5.5,0
"Moraschini, Riccardo",PG,MIL,ITA,194,30,23,70%,10.7,2.8,0.4,1.1,38%,0.4,0.8,47%,0.8,2.0,42%,0.7,1.1,65%,0.1,1.5,1.6,1.1,1.1,0.9,0.4,0.6,0.0,3.4,0
